"Time","Scenario","variable","perHC","perBBS","permicro","perSCP"
2032,"SSP5_8.5","1.5",89.3,1.5,8.7,0.5
2032,"SSP5_8.5","1.75",89.3,1.5,8.7,0.5
2032,"SSP5_8.5","2",89.3,1.5,8.7,0.5
2033,"SSP2_4.5","0",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","0.25",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","0.5",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","0.75",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","1",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","1.25",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","1.5",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","1.75",89.6,1.4,8.4,0.5
2033,"SSP2_4.5","2",89.6,1.4,8.4,0.5
2033,"SSP5_8.5","0",89.2,1.5,8.9,0.5
2033,"SSP5_8.5","0.25",89.2,1.5,8.9,0.5
2033,"SSP5_8.5","0.5",89.2,1.5,8.9,0.5
2033,"SSP5_8.5","0.75",89.2,1.5,8.9,0.5
2033,"SSP5_8.5","1",89.2,1.5,8.9,0.5
2033,"SSP5_8.5","1.25",89,1.5,9,0.5
2033,"SSP5_8.5","1.5",89.2,1.5,8.9,0.5
2033,"SSP5_8.5","1.75",89.2,1.5,8.9,0.5
2033,"SSP5_8.5","2",89.2,1.5,8.9,0.5
2034,"SSP2_4.5","0",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","0.25",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","0.5",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","0.75",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","1",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","1.25",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","1.5",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","1.75",89.8,1.4,8.3,0.5
2034,"SSP2_4.5","2",89.8,1.4,8.3,0.5
2034,"SSP5_8.5","0",89.1,1.5,8.9,0.5
2034,"SSP5_8.5","0.25",89.1,1.5,8.9,0.5
2034,"SSP5_8.5","0.5",89.1,1.5,8.9,0.5
2034,"SSP5_8.5","0.75",89.1,1.5,8.9,0.5
2034,"SSP5_8.5","1",89.1,1.5,8.9,0.5
2034,"SSP5_8.5","1.25",89,1.5,9,0.5
2034,"SSP5_8.5","1.5",89.1,1.5,8.9,0.5
2034,"SSP5_8.5","1.75",89.1,1.5,8.9,0.5
2034,"SSP5_8.5","2",89.1,1.5,8.9,0.5
2035,"SSP2_4.5","0",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","0.25",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","0.5",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","0.75",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","1",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","1.25",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","1.5",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","1.75",89.5,1.4,8.6,0.5
2035,"SSP2_4.5","2",89.5,1.4,8.6,0.5
2035,"SSP5_8.5","0",89,1.5,9,0.5
2035,"SSP5_8.5","0.25",89,1.5,9,0.5
2035,"SSP5_8.5","0.5",89,1.5,9,0.5
2035,"SSP5_8.5","0.75",89,1.5,9,0.5
2035,"SSP5_8.5","1",89,1.5,9,0.5
2035,"SSP5_8.5","1.25",88.9,1.5,9.1,0.5
2035,"SSP5_8.5","1.5",89,1.5,9,0.5
2035,"SSP5_8.5","1.75",89,1.5,9,0.5
2035,"SSP5_8.5","2",89,1.5,9,0.5
2036,"SSP2_4.5","0",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","0.25",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","0.5",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","0.75",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","1",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","1.25",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","1.5",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","1.75",89.6,1.4,8.5,0.5
2036,"SSP2_4.5","2",89.6,1.4,8.5,0.5
2036,"SSP5_8.5","0",88.9,1.5,9.1,0.5
2036,"SSP5_8.5","0.25",88.9,1.5,9.1,0.5
2036,"SSP5_8.5","0.5",88.9,1.5,9.1,0.5
2036,"SSP5_8.5","0.75",88.9,1.5,9.1,0.5
2036,"SSP5_8.5","1",88.9,1.5,9.1,0.5
2036,"SSP5_8.5","1.25",88.7,1.5,9.3,0.5
2036,"SSP5_8.5","1.5",88.9,1.5,9.1,0.5
2036,"SSP5_8.5","1.75",88.9,1.5,9.1,0.5
2036,"SSP5_8.5","2",88.9,1.5,9.1,0.5
2037,"SSP2_4.5","0",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","0.25",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","0.5",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","0.75",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","1",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","1.25",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","1.5",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","1.75",89.7,1.4,8.4,0.5
2037,"SSP2_4.5","2",89.7,1.4,8.4,0.5
2037,"SSP5_8.5","0",88.7,1.5,9.3,0.5
2037,"SSP5_8.5","0.25",88.7,1.5,9.3,0.5
2037,"SSP5_8.5","0.5",88.7,1.5,9.3,0.5
2037,"SSP5_8.5","0.75",88.7,1.5,9.3,0.5
2037,"SSP5_8.5","1",88.7,1.5,9.3,0.5
2037,"SSP5_8.5","1.25",88.6,1.5,9.4,0.5
2037,"SSP5_8.5","1.5",88.7,1.5,9.3,0.5
2037,"SSP5_8.5","1.75",88.7,1.5,9.3,0.5
2037,"SSP5_8.5","2",88.7,1.5,9.3,0.5
2038,"SSP2_4.5","0",89.5,1.4,8.6,0.5
2038,"SSP2_4.5","0.25",89.5,1.4,8.6,0.5
2038,"SSP2_4.5","0.5",89.5,1.4,8.6,0.5
2038,"SSP2_4.5","0.75",89.5,1.4,8.6,0.5
