"Time","variable","CoralCover","Scenario"
2073,"0.5",20.3115334715732,"SSP2_4.5"
2074,"0.5",19.3458820309574,"SSP2_4.5"
2075,"0.5",18.443061717263,"SSP2_4.5"
2076,"0.5",17.5985016368887,"SSP2_4.5"
2077,"0.5",16.8079908272303,"SSP2_4.5"
2078,"0.5",16.0676477130513,"SSP2_4.5"
2079,"0.5",15.3738923397018,"SSP2_4.5"
2080,"0.5",14.7234211157474,"SSP2_4.5"
2081,"0.5",14.1131838244904,"SSP2_4.5"
2082,"0.5",13.5403626879829,"SSP2_4.5"
2083,"0.5",13.0023532887559,"SSP2_4.5"
2084,"0.5",12.4967471738755,"SSP2_4.5"
2085,"0.5",12.0213159833242,"SSP2_4.5"
2086,"0.5",11.5739969603107,"SSP2_4.5"
2087,"0.5",11.152879715113,"SSP2_4.5"
2088,"0.5",10.7561941266342,"SSP2_4.5"
2089,"0.5",10.3822992771403,"SSP2_4.5"
2090,"0.5",10.0296733257995,"SSP2_4.5"
2091,"0.5",9.6969042357577,"SSP2_4.5"
2092,"0.5",9.3826812776895,"SSP2_4.5"
2093,"0.5",9.08578724013471,"SSP2_4.5"
2094,"0.5",8.80509128357305,"SSP2_4.5"
2095,"0.5",8.53954238116138,"SSP2_4.5"
2096,"0.5",8.28816329444093,"SSP2_4.5"
2097,"0.5",8.05004503717036,"SSP2_4.5"
2098,"0.5",7.82434178481101,"SSP2_4.5"
2099,"0.5",7.61026619113259,"SSP2_4.5"
2100,"0.5",7.40708507696313,"SSP2_4.5"
2019,"0.75",26.7996713877008,"SSP2_4.5"
2020,"0.75",26.9872690874147,"SSP2_4.5"
2021,"0.75",27.1761799710266,"SSP2_4.5"
2022,"0.75",27.3664132308238,"SSP2_4.5"
2023,"0.75",27.5579781234396,"SSP2_4.5"
2024,"0.75",27.7508839703036,"SSP2_4.5"
2025,"0.75",27.9451401580958,"SSP2_4.5"
2026,"0.75",28.1407561392024,"SSP2_4.5"
2027,"0.75",28.3377414321768,"SSP2_4.5"
2028,"0.75",28.5361056222021,"SSP2_4.5"
2029,"0.75",28.7358583615575,"SSP2_4.5"
2030,"0.75",28.9370093700884,"SSP2_4.5"
2031,"0.75",29.139568435679,"SSP2_4.5"
2032,"0.75",29.3435454147288,"SSP2_4.5"
2033,"0.75",29.5489502326319,"SSP2_4.5"
2034,"0.75",29.7557928842603,"SSP2_4.5"
2035,"0.75",29.9640834344501,"SSP2_4.5"
2036,"0.75",30.1738320184913,"SSP2_4.5"
2037,"0.75",30.3850488426207,"SSP2_4.5"
2038,"0.75",30.5977441845191,"SSP2_4.5"
2039,"0.75",30.8119283938107,"SSP2_4.5"
2040,"0.75",31.0276118925674,"SSP2_4.5"
