"","name","morphology","ext_mean","ext_sd","planar_ratio_mean","planar_ratio_upr","planar_ratio_lwr","planar_mean","planar_upr","planar_lwr"
"31","Mycetophyllia lamarckiana","submassive",0.50650114973279,0.0237020885446068,4,8.79166666666667,2.30208333333333,2.02600459893116,4.45298927473412,1.16600785511403
"32","Oculina diffusa","branching",1.7655,0.0971179999999998,1.5,3.38749999999999,0.825,2.64825,5.98063124999999,1.4565375
"33","Orbicella annularis","massive",0.918175,0.00778946098248732,1.5,7.72999999999999,0.6,1.3772625,7.09749274999999,0.550905
"34","Orbicella faveolata","massive",0.930111111111111,0.00940846555371954,2.66666666666667,18,0.833333333333333,2.4802962962963,16.742,0.775092592592592
"35","Orbicella franksi","massive",0.332976923076923,0.0109972285440478,2.83333333333333,18,0.857142857142857,0.943434615384616,5.99358461538462,0.285408791208791
"36","Porites astreoides","submassive",0.451953125,0.00986042391569718,2.5,12,0.923076923076923,1.1298828125,5.4234375,0.4171875
"37","Porites branneri","encrusting/sub-massive",0.451953125,0.00986042391569718,3,9.375,0.921875,1.355859375,4.237060546875,0.416644287109375
"38","Porites colonensis","plating",0.483,0.0106188433313536,5,18.85,2.10357142857143,2.415,9.10454999999999,1.016025
"39","Porites divaricata","branching",1.747875,0.06051140282831,1.76923076923077,5,0.769230769230769,3.09239423076923,8.739375,1.34451923076923
"40","Porites furcata","branching",2.234,0.0933906578625506,2,5.055,0.730357142857143,4.468,11.29287,1.63161785714286
"41","Porites porites","branching",1.747875,0.06051140282831,1.85714285714286,6,0.75,3.24605357142857,10.48725,1.31090625
"42","Pseudodiploria clivosa","massive",0.4785,0.015386,4,21.1,1.18705882352941,1.914,10.09635,0.568007647058824
"43","Pseudodiploria strigosa","massive",0.490571428571428,0.0119701278445715,2.6,16,1,1.27548571428571,7.84914285714286,0.490571428571428
"44","Scolymia cubensis","freeliving",0.3063125,0.0106188433313536,4,5,1.66666666666667,1.22525,1.5315625,0.510520833333333
"45","Scolymia lacera","freeliving",0.3063125,0.0106188433313536,2.75,5.6625,2,0.842359375,1.73449453125,0.612625
"46","Siderastrea radians","encrusting/sub-massive",0.367615384615385,0.00837211008351496,3.66666666666667,10,1.2,1.34792307692308,3.67615384615385,0.441138461538462
"47","Siderastrea siderea","massive",0.367615384615385,0.00837211008351496,3,11,1.1875,1.10284615384615,4.04376923076923,0.436543269230769
"48","Solenastrea bournoni","massive",0.89,0,1.86607142857143,11.79,0.8,1.66080357142857,10.4931,0.712
"49","Solenastrea hyades","submassive",0.266666666666667,0.0228666666666667,2.5,2.5,2.5,0.666666666666667,0.666666666666667,0.666666666666667
"50","Stephanocoenia intersepta","submassive",0.34,0.03136,3.25,12,1.19203296703297,1.105,4.08,0.405291208791209
"51","Tubastraea coccinea","branching",1.931475,0.162504994685548,2,4.425,1.02142857142857,3.86295,8.546776875,1.97286375
